Time (ms),Name,Value
2258793,"error","1839.5"
2258794,"elevator height","-60.5"
2258894,"error","1814.5"
2258895,"elevator height","-85.5"
2258995,"error","1786.5"
2258995,"elevator height","-113.5"
2259095,"error","1755.5"
2259095,"elevator height","-144.5"
2259196,"error","1719.5"
2259196,"elevator height","-180.5"
2259296,"error","1683.5"
2259296,"elevator height","-216.5"
2259397,"error","1652.5"
2259397,"elevator height","-247.5"
2259497,"error","1625.5"
2259497,"elevator height","-274.5"
2259596,"error","1598.5"
2259596,"elevator height","-301.5"
2259697,"error","1578.5"
2259697,"elevator height","-321.5"
2259797,"error","1564.5"
2259797,"elevator height","-335.5"
2260297,"error","1565.5"
2260298,"elevator height","-334.5"
2260397,"error","1566.5"
2260398,"elevator height","-333.5"
2267207,"error","1563.5"
2267207,"elevator height","-336.5"
2267308,"error","1562.5"
2267308,"elevator height","-337.5"
2267407,"elevator height","-338.5"
2267508,"error","1554.5"
2267508,"elevator height","-345.5"
2267608,"error","1541.5"
2267608,"elevator height","-358.5"
2267709,"error","1526.5"
2267709,"elevator height","-373.5"
2267808,"error","1514.5"
2267808,"elevator height","-385.5"
2267909,"error","1485.5"
2267910,"elevator height","-414.5"
2268009,"error","1461.5"
2268009,"elevator height","-438.5"
2268110,"error","1438.5"
2268110,"elevator height","-461.5"
2268210,"error","1411.5"
2268210,"elevator height","-488.5"
2268310,"error","1379.5"
2268310,"elevator height","-520.5"
2268411,"error","1344.5"
2268411,"elevator height","-555.5"
2268511,"error","1308.5"
2268511,"elevator height","-591.5"
2268613,"error","1272.5"
2268614,"elevator height","-627.5"
2268711,"error","1238.5"
2268711,"elevator height","-661.5"
2268812,"error","1208.5"
2268812,"elevator height","-691.5"
2268912,"error","1177.5"
2268912,"elevator height","-722.5"
2269012,"error","1145.5"
2269013,"elevator height","-754.5"
2269113,"error","1118.5"
2269113,"elevator height","-781.5"
2269213,"error","1096.5"
2269213,"elevator height","-803.5"
2269314,"error","1090.5"
2269314,"elevator height","-809.5"
2269614,"error","1091.5"
2269615,"elevator height","-808.5"
2269814,"error","1092.5"
2269814,"elevator height","-807.5"
2281028,"error","1090.5"
2281028,"elevator height","-809.5"
2281129,"error","1087.5"
2281129,"elevator height","-812.5"
2281228,"error","1076.5"
2281229,"elevator height","-823.5"
2281329,"error","1048.5"
2281329,"elevator height","-851.5"
2281430,"error","1023.5"
2281430,"elevator height","-876.5"
2281530,"error","1000.5"
2281530,"elevator height","-899.5"
2281630,"error","978.5"
2281630,"elevator height","-921.5"
2281730,"error","952.5"
2281730,"elevator height","-947.5"
2281831,"error","932.5"
2281831,"elevator height","-967.5"
2281931,"error","904.5"
2281931,"elevator height","-995.5"
2282031,"error","882.5"
2282031,"elevator height","-1017.5"
2282132,"error","867.5"
2282132,"elevator height","-1032.5"
2282232,"error","846.5"
2282232,"elevator height","-1053.5"
2282333,"error","826.5"
2282333,"elevator height","-1073.5"
2282433,"error","803.5"
2282433,"elevator height","-1096.5"
2282532,"error","777.5"
2282533,"elevator height","-1122.5"
2282635,"error","749.5"
2282635,"elevator height","-1150.5"
2282734,"error","720.5"
2282734,"elevator height","-1179.5"
2282833,"error","689.5"
2282833,"elevator height","-1210.5"
2282934,"error","657.5"
2282934,"elevator height","-1242.5"
2283035,"error","628.5"
2283035,"elevator height","-1271.5"
2283134,"error","608.5"
2283134,"elevator height","-1291.5"
2283235,"error","601.5"
2283235,"elevator height","-1298.5"
2283536,"error","602.5"
2283536,"elevator height","-1297.5"
2283736,"error","603.5"
2283736,"elevator height","-1296.5"
2289040,"error","604.5"
2289041,"elevator height","-1295.5"
2289240,"error","610.5"
2289240,"elevator height","-1289.5"
2289341,"error","627.5"
2289342,"elevator height","-1272.5"
2289443,"error","651.5"
2289443,"elevator height","-1248.5"
2289543,"error","682.5"
2289543,"elevator height","-1217.5"
2289643,"error","712.5"
2289643,"elevator height","-1187.5"
2289743,"error","741.5"
2289744,"elevator height","-1158.5"
2289844,"error","768.5"
2289844,"elevator height","-1131.5"
2289944,"error","788.5"
2289945,"elevator height","-1111.5"
2290045,"error","804.5"
2290045,"elevator height","-1095.5"
2290145,"error","808.5"
2290145,"elevator height","-1091.5"
2504974,"elevator height","-1091.5"
2504974,"error","808.5"
2504974,"is terminated","true"
2504974,"PID output","-0.10000000149011612"
2519497,"error","968.5"
2519498,"PID output","-0.09685000032186508"
2519498,"elevator height","17.5"
2747757,"elevator height","17.5"
2747861,"error","968.5"
2747861,"is terminated","true"
2747861,"PID output","-0.09685000032186508"
2753669,"mode","init"
2754800,"mode","periodic"
2754801,"error","966.5"
2754801,"PID output","-0.09664999693632126"
2754801,"elevator height","16.5"
2866530,"elevator height","16.5"
2866530,"error","966.5"
2866530,"is terminated","true"
2866530,"mode","periodic"
2866530,"PID output","-0.09664999693632126"
2874137,"mode","init"
2874541,"error","972.5"
2874542,"PID output","-0.09724999964237213"
2874542,"elevator height","22.5"
2874542,"mode","periodic"
3367330,"elevator height","0.0"
3367363,"error","972.5"
3367363,"is terminated","true"
3367363,"mode","periodic"
3367363,"PID output","-0.09724999964237213"
3376273,"elevator height","1.0"
3376474,"elevator height","2.0"
3376574,"elevator height","4.0"
3376674,"elevator height","8.0"
3376775,"elevator height","10.0"
3376875,"elevator height","11.0"
3376975,"elevator height","13.0"
3378478,"elevator height","14.0"
3491086,"elevator height","14.0"
3491086,"error","972.5"
3491086,"is terminated","true"
3491086,"mode","periodic"
3491087,"PID output","-0.09724999964237213"
3524248,"mode","periodic"
